2024年4月12日其他纸张价格,,,,,,,,,,,,,
品牌,克重,核价平方价,标规单张,大规单张,进货平方价,涨跌情况,,,,,,,
丰华塑料胶,,2.78 ,2.5元/平方,水胶、热胶一样,2.65,,,,,,,,
丰华热胶（FH2102）,,,,,2.6,↑,,,,,,,
丰华牛皮纸不干胶,,,,,2.8,↑,,,,,,,
书写不干胶,,,,,2.65,↑,,,,,,,
"丰华合成纸不干胶
(FH-2601)",,,,,3.4,↑,,,,,,,
丰华水胶（FH2101）,,,,,2.65,↑,,,,,,,
"丰华PET不干胶
（FH-2201）",,,,,3丝3.0,↑,,,,,,,
"丰华PET不干胶
（FH-2210）",,,,,"5丝4.0
10丝6.2",↑,,,,,,,
"丰华不干胶
（75合成热胶）",,,,,3.5,↑,,,,,,,
"丰华可转移中粘
（FH-2401）",,,,,4,↑,,,,,,,
"丰华可转移高粘
（FH-2401）",,,,,5.5,↑,,,,,,,
,,,,,,-,,,,,,,
,,,,,,-,,,,,,,
无碳复写（公司定用大规及色别）,48g上白,令价正度,,,230,,,,,,,,
,,令价大度,,,280,,,,,,,,
,48g下黄,令价正度,,,230,,,,,,,,
,,令价大度,,,280,,,,,,,,
,48g中纸（红、兰、绿）,令价正度,,,260,,,,,,,,
,,令价大度,,,320,,,,,,,,
,70g下白,令价正度,,,370,,,,,,,,
,,令价大度,,,465,,,,,,,,
PVC天窗料,15丝及以上,,91.5*122,,15元/公斤,-,,,,,,,
PET天窗料,2.5丝以上,,,,14元/公斤,-,,,,,,,
,算法公式,面积*丝数（10丝按0.1）*1.4（系数）*价格(公斤）以米为单位,,,,,,,,,,,
,"注：切费另加0.04元/张。净尺寸四周各加2CM，常规尺寸91.5*122
加保护膜：单面1元/平方",,,,,-,,,,,,,
缎带计算,1码=0.914米,,,,,,,,,,,,
POF对折膜计算（1公斤100米）,17.5元/公斤  ,,,,,,,,,,,,
,注意：计算门幅时按产品尺寸的一边+8cm,,,,,,,,,,,,
冰箱贴软磁贴计算公式,长*宽*厚*0.0037（固定系数即软磁贴密度）*吨价（3吨以上不环保的订单7000元、以下7500元，环保9000元）/1000000以毫米为单位）,,,,,,,,,,,,
,0.32mm的软磁   ,按现价报,,,表磁在：220一240Gs,,,,,,,,
,0.4mm的软磁折,按现价报,,,,,,,,,,,
,0.5mm的软磁,按现价报,,,,,,,,,,,
,0.6mm的软磁折,按现价报,,,,,,,,,,,
,0.8mm的软磁,按现价报,,,,,,,,,,,
OPP袋,5丝（双层）,,,,,,,,,,,,
,算法公式,,,,,,,,,,,,
,例如:22*23+3,1、22*（23+23+3）(二层+粘口）*2.5单面丝数*吨价    2、工时0.005/只                     3、自粘口胶 22*0.00012                 4、以上三项相加*10%,,,开票加税,,,,,,,,
注意; 卷筒纸分切每吨加50元费用,,,,,,,,,,,,,
其他纸张核价吨价=进货吨价*1.05,,,,,,,,,,,,,
特种纸张核价吨价=进货吨价*1.1,,,,,,,,,,,,,
　　　　　　　　　^进货吨价及时查询仓库库存，每月不少于一次核价吨价调整。                                      ,,,,,,,,,,,,,
,,,,,,,,,,,,,
3M双面胶（50M长）,宽度,价格（元）,宽度,价格（元）,,,,,,,,,
,3mm,1.8,40mm,24,,,,,,,,,
,5mm,3,50mm,30,,,,,,,,,
,8mm,4.8,60mm,36,,,,,,,,,
,10mm,6,70mm,42,,,,,,,,,
,12mm,7.2,80mm,48,,,,,,,,,
,15mm,9,90mm,54,,,,,,,,,
,18mm,10.8,100mm,60,,,,,,,,,
,20mm,12,150mm,90,,,,,,,,,
,25mm,15,200mm,120,,,,,,,,,
,30mm,18,300mm,180,,,,,,,,,
,35mm,21,600mm,360,,,,,,,,,
,2CM,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
