纸张核价表（2025.11.3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注意; 卷筒纸分切每吨加100元费用,,,,,,,,更新人：,,,张倩倩,,复核人,, ,,,,,,,,,,,,,,,,,,,,,,,,
其他纸张核价吨价=进货吨价*1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特种纸张核价吨价=进货吨价*1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^进货吨价及时查询仓库库存，每月不少于一次核价吨价调整                                      ,,,,,,,,更新时间：,,,2026/6/15,,复核时间,,,上涨,↑,,,,,,,,,,,,,,,,,,,,,,
说明：①报价为平张价格，卷筒-100元/吨，量大可另外报价；②卷筒纸分切每吨加100元费用；③特种纸张核价吨价=进货吨价*1.1（其他*1.05）；④进货吨价及时查询仓库库存，每月不少于一次核价吨价调整；⑤大单另外询价。以上不含运费。,,,,,,,,,,,,,,,,未调整,-,,,,,,,,,,,,,,,,,,,,,,
序号,种类,品牌,克重,供应商,报价,供应商,报价,供应商,报价,进货吨价,涨幅,核价吨价,标规单张,大规单张,备注,下跌,↓,,,,,,,,,,,,,,,,,,,,,,
1,双铜,太空梭,105,,,,,,,7610,停产,7838.3,0.71 ,0.87 ,摄影类画册专用纸-特级,,,,,,,,,,,,,,,,,,,,,,,,
2,双铜,太空梭,128,,,,,,,7410,停产,7632.3,0.84 ,1.04 ,摄影类画册专用纸-特级,,,,,,,,,,,,,,,,,,,,,,,,
3,双铜,太空梭,157,,,,,,,7410,停产,7632.3,1.03 ,1.27 ,摄影类画册专用纸-特级,,,,,,,,,,,,,,,,,,,,,,,,
4,双铜,太空梭,200,,,,,,,7410,停产,7632.3,1.31 ,1.62 ,摄影类画册专用纸-特级,,,,,,,,,,,,,,,,,,,,,,,,
5,双铜,王子尊玛,80,,,,,,,5610,↓,5778.3,0.40 ,0.49 ,,,,,,,,,,,,,,,,,,,,,,,,,
6,双铜,王子尊玛,105,,,,,,,5410,↓,5572.3,0.50 ,0.62 ,,,,,,,,,,,,,,,,,,,,,,,,,
7,双铜,王子尊玛,128,,,,,,,5210,↓,5366.3,0.59 ,0.73 ,,,,,,,,,,,,,,,,,,,,,,,,,
8,双铜,王子尊玛,157,,,,,,,5210,↓,5366.3,0.72 ,0.89 ,,,,,,,,,,,,,,,,,,,,,,,,,
9,双铜,酋长,300,,,,,,,4610,↓,4748.3,1.22 ,1.51 ,,,,,,,,,,,,,,,,,,,,,,,,,
10,双铜,酋长,350,,,,,,,4610,↓,4748.3,1.43 ,1.76 ,,,,,,,,,,,,,,,,,,,,,,,,,
