经纬 报价单（以前的价格）,,,经纬 报价单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,报价有效日期截止：23.03.31,,,报价有效日期截止：26.12 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,产品,所报价格实克（元/吨）,品相吨价（元/吨）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
产品,所报价格（元/吨）,降幅,轻型极致（只做60克古米色）,9900,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轻型极致 ,9900,#REF!,水纹 （180克以上包括180克）/(180克以下）,14000/12000,14000/12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水纹 （180克以上）,14000,#REF!,尼欧特铜,10500,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼欧特铜 ,10500,#REF!,米子雪工,10200,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
米子雪工,10200,#REF!,金玛莉雪,8500,8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安娜A1丝光 170 ,11500,#REF!,舒视雅印,9200,9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舒视雅印,9200,#REF!,棉彩速印,11000,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
棉彩速印,11000,#REF!,高彩映画,11800,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高彩映画 ,10000,#REF!,古典图文,9000,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水纹（180克以下）,12000,#REF!,"荷兰蛙板 （2.0,2.5,3.0)",9500,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"荷兰蛙板 （2.0,2.5,3.0)",9500,#REF!,荷兰蛙板(1.5),9800,9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荷兰蛙板(1.5),9800,#REF!,青蛙盖板（1.0）,10500,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青蛙盖板（1.0）,10500,#REF!,美白坚卡,10500,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美白坚卡,10500,#REF!,大地之恋(白色，米色）,18000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大地之恋(白色，米色）,18000,#REF!,大地之恋(浅灰，浅棕，中灰）,18500,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大地之恋(浅灰，浅棕，中灰）,18500,#REF!,大地之恋（草绿）,21500,21500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大地之恋（草绿）,21500,#REF!,牛仔纤维 （苇棕，麦棕，驼棕）,17500,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛仔纤维 （苇棕，麦棕，驼棕）,17500,#REF!,晶钻彩烙,26000,26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晶钻彩烙,26000,#REF!,水彩粗纹,18000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水彩粗纹,18000,#REF!,石斑棉絮,20500,20500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石斑棉絮,20500,#REF!,艾尔丽莎,9800,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾尔丽莎,8500,#REF!,艾普丽丝,9500,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾普丽丝,9800,#REF!,高丽映雪（140.170.200）,14000,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高丽映雪（140.170.200）,13900,#REF!,高丽映雪（240.270.300.340）,13700,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高丽映雪（240.270.300.340）,13000,#REF!,高丽映彩,11800,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高丽映彩,10800,#REF!,小薇超感,11500,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小薇超感,10800,#REF!,柔美上质,12000,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柔美上质,10800,#REF!,一级卡（单涂）,15600,15600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一级卡（单涂）,15800,#REF!,一级卡（双涂）,16100,16100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一级卡（双涂）,16300,#REF!,描图纸（135克以下）,25800,25800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
描图纸（135克以下）,25800,#REF!,描图纸（135克以上）,27800,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
描图纸（135克以上）,27800,#REF!,缤纷雅韵,10000,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缤纷雅韵,10300,#REF!,雅嵩书纸,11800,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雅嵩书纸,8500,#REF!,和嵩书纸,11500,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和嵩书纸,8500,#REF!,晶莹超感,10500,9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩羽纯质,9200,#REF!,纱舞离纸,18500,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晶莹超感,9900,#REF!,赤白游龙（40克）,48500,48500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纱舞离纸,18500,#REF!,赤白游龙（80克）,36500,36500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤白游龙（40克）,48500,#REF!,古典烟彩,16500,16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤白游龙（80克）,36500,#REF!,瑞典赤牛,8000（非FSC)8500（FSC）,8000（非FSC)8500（FSC）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古典烟彩,16500,#REF!,纯素色纸,18500,18500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浅野牛仔,11800,#REF!,华丽触感,28000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纯素色纸,18500,#REF!,美彩风韵,10000,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华丽触感,28500,#REF!,再生彩意（石墨黑。毯印白）,28500,28500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拿铁伦,41000,#REF!,再生彩意（彩色系）,32500,32500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
再生彩意（石墨黑。毯印白）,30000,#REF!,高丽镜卡,17800,17800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
再生彩意（彩色系）,32500,#REF!,安娜白卡,12800,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高丽镜卡,17800,#REF!,高丽强卡,12800,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安娜白卡,12800,#REF!,瑞典棉卡,12800,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高丽强卡,12800,#REF!,迪奥粉卡,14500,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞典棉卡,12800,#REF!,上质艺纹（丽琦，细格，莱尼，细砂）,12000,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
迪奥粉卡,14500,#REF!,高彩艺纹（映象，映砂，映格，映尼）,12500,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上质艺纹（丽琦，细格，莱尼，细砂）,11500,#REF!,白雪印画,11000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高彩艺纹（映象，映砂，映格，映尼）,11800,#REF!,纯质荷白,8500,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上质（雅美雅芙）,17000,#REF!,精致奈雪,8500,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高彩（雅美雅芙）,18500,#REF!,原本自然,8500,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白雪印画,9000,#REF!,恩贝象牙,8000,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,瑞彩白卡,6800,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,丹丽丝滑,7800,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,中国红卡/至尊红卡/宙斯黑卡（全木浆透心 ）,12500,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
