2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,产品分类,,批发价,,备注,,,,品牌,品种,克重,规格,颜色/纹路,单位,批发价,备注,,
页,品名,颜色/纹路,克重,规格,批发价,备注,,嘉兴10月新品,凤歌环保,,150,正度,高亮充皮,令,3950,充皮纹/细格纹,,
新品,柔美生态纸,蔗造纸/超白,120-350,正度,14300/吨,,,,,,150,,哑光充皮,令,3800,羊皮/淮枝,,
,,竹造纸/雪白,120-400,,14300/吨,,,,,,150,,金属充皮,令,3450,峰窜/流沙,,
,,竹造精品/超白,120-350,,16000/吨,,,,,,柔性定制，适量库存，非样板标准产品，整卷起订约6000张。不足收开机费1500-2500元,,,,,,,
东莞新品,新印画EP-PACK,超白/单面,130/160/260/360,,12000/吨,东莞基地适量备货，可定制特规,,,风行触感耐刮型,,120,正度,黑色/单面,令,1300,柔性定制，适量库存，非样板标准产品，整卷起订约6000张。不足收开机费1000-1500元,,
,,超白/双面,140/170/270/370,,12500/吨,,,,,,200,,,令,1675,,,
,映彩,经典白,120/150/200/240,,9500/吨,东莞基地批量备货,,,,,250,,,令,1900,,,
,雪砂,皓白,130单面,正/大度,965 ,东莞基地批量备货，支持特规分切,,,,,300,,,令,2250,,,
,,,180单面,,1320 ,,,,,,350,,,令,2350,,,
,,,310单面,,2200 ,,,,,,120,,红色/单面,令,1350,,,
,,,165双面,,1295 ,,,,,,200,,,令,1725,,,
,,,190双面,,1485 ,,,,,,250,,,令,1950,,,
,,,250双面,,1870 ,,,,,,300,,,令,2300,,,
,,,320双面,,2365 ,,,,,,350,,,令,2400,,,
,樱松黑卡,P155,110 ,正度,630,"•精选100%纯木浆纤维造制；•1.6-1.7的独特松厚度，具备良好的加工适用性，纸张耐破较好；•色牢度较好，不易褪色；•色差值△E＜1.5。
（本产品暂不备库存，按需调货）",,嘉兴新品,"新风行金属
（单面）",,135g,正度,冰晶白、晨粉金、玫瑰金、古典金、香槟金、青石金、炫金、太阳金、冰川银、冰晶蓝、梦幻紫、尚品紫、沉稳灰,令,1300,,,
,,P185,130 ,,740,,,,,,,,紫铜金、中国红、烈焰红、红荔红、莱姆绿、翡翠绿、墨青绿、松石绿、晶钻蓝、星空蓝、、银碳色、金棕色、橡木棕、摩卡棕、石砚黑,令,1400,,,
,,P215,150 ,,860,,,,,,160g,,太阳金、古典金、香槟金、星空蓝、摩卡棕,令,1450,,,
,,P310,200 ,,1085,,,,,,230g,,,令,1800,,,
,,P370,250 ,,1360,,,,,风云触感/外购,120,正度,黑色/红色(平面）,令,950,嘉兴适量备货,,
,,P430,300 ,,1630,,,,,风云流霞,120,,天蓝/粉红/桔黄,令,1100,,,
,极致黑卡,黑色,180 ,,1520,"•100%纯木浆纤维，高强。
•极致黑卡突破常规极限
（本产品暂不备库存，按需调货）",,,,,120,,鲜红/酒红/深蓝,令,1150,,,
,,,220 ,,1850,,,,,万象流金,130单面,正度,平面（20个色）,令,1450,艾利丝、平面，嘉兴备正度规格，大度属于定制，起订数量不少于5000㎡,,
,水溶纸,平面/白色,120,正度,2090,东莞备打样纸，后续起订数量为600kg,,,,,,,纹面（艾利丝）,令,1500,,,
,,,270,,4700,接受克重定制，顺带抄造时2吨起订，单独开机4吨起定，误差数±0.5吨以内；,,,,,200-P30,,平面/纹路,令,1800,,,
新品,嵩厚黑卡,,100-160,正/大度,13600,,,,,,130单面,,魅力红,令,1600,,,
,,,170-350,,13000,,,东莞新品,万象牌,踏雪,120,正度,冰川绿、初雪白、甜心粉、极光紫、清新黄、柏香棕,令,1550,东莞仓适量备货,,
,,P155,110,,644,,,,,玉沙,120,,沙尘灰、松叶绿、深冬灰、珊瑚粉、郁金紫、麦茶黄、圣洁白、贝壳米,令,1550,,,
,,P185,130,,758,,,,,万象兰迪,130,正度,"平面,20色",令,1425,东莞基地定制产品，不常备原纸,,
,,P215,150,,877,,,,,万象魅影,130,正度,"平面,12色",令,1800,东莞基地适量备货，不支持特规,,
,,P310,200,,1113,,,,,风云触感（DG）,130,正度,滑系列/红色,令,1100,,,
,,P380,250,,1389,,,,,,130,,滑系列/黑色,令,1050,,,
,,P430,300,,1670,,,,,,130,正度,绒系列/红色,令,1350,,,
,多功能彩色纸,米黄/粉红/三文鱼/白色/   灰色/天蓝/浅紫 /浅绿,70-180,正/大度,10000,,,,,,130,,绒系列/黑色,令,1200,,,
