,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
蓝碧源艺术纸价格表,,,,,,,,伯爵是按合作协议价11000/吨的，曼雅高感8800/吨，欧纯棉纸按市场价格7折，其他产品按市场价格75折执行，,,,,,,,,,,
产品系列,产品名称,平台编码,克重,颜色,规格,,"2026年
市场张价",,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-W0201,120,超白,787,1092,4.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-W0201,180,超白,787,1092,6.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-W0201,280,超白,787,1092,10.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-W0401,120,暖白,787,1092,4.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-W0401,180,暖白,787,1092,6.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-W0401,280,暖白,787,1092,10.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-W1801,120,茶白,787,1092,4.4,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-W1801,180,茶白,787,1092,6.6,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-W1801,280,茶白,787,1092,10.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-H3201,120,高级灰,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-H3201,180,高级灰,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-H3201,280,高级灰,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-H2501,120,浅灰,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-H2501,180,浅灰,787,1092,7.7,,,,,,,,,,,
色域系列,新渲染色咭,A3313-280-H2501,280,浅灰,787,1092,12,,,,,,,,,,,
色域系列,新渲染色咭,A3313-120-H4301,120,英伦灰,787,1092,5.2,,,,,,,,,,,
色域系列,新渲染色咭,A3313-180-H4301,180,英伦灰,787,1092,7.7,,,,,,,,,,,
