温岭市森林包装/重型纸板/M440/U337/T250美卡/P280AAA台色/K200AAA日色,,,
X230AA俄色 E170俄色/Q150日色/R120/F100/G140/3/80/4/100/5/120/6/160/8/180/9/220,,,
周二AAA/AA和BCA/周一三四六日 EBA/BA/ EB/ 周五EE/ BC 瓦天天开,,,
五层AA楞厚度1公分,售价：元/平方米,BCA1.2/CM1.5公分,售价：元/平方米
M888M/M889M,10.80/11.00,M88888M/M88889M,12.80/13.00
U888U/U889U,9.60/9.80,U88888U/U88889U,11.40/11.60
T888T/T889T,8.60/8.80,T88888T/T88889T,10.40/10.60
七层箱片 EBA/0.9 ,支持更高更强材质定制,K53636Q/X53636Q,5.40/5.30
P66868P/T66668K,7.80/7.20,K53636Q/X53636Q,5.30/5.20
P66668P/T63638K,7.60/6.80,K53535Q/X53535Q,5.10/5.00
P66668K/T63636K,7.30/6.50,K43435Q/X43435Q,4.90/4.80
K66668K/T53636K,6.80/6.30,Q53536Q/E53536Q,4.70/4.70
K63638K/T53636Q,6.40/6.00,K53535Q/E53535Q,4.60/4.60
K63636K/T53535Q,6.10/5.80,Q43435Q/E43435Q,4.40/4.40
K53636K/T53535Q,5.90/5.60,Q43435R/E43435R,4.30/4.30
K53536K/T43535Q,5.70/5.40,Q43434R/E43434R,4.20/4.30
五层箱片代码 ,BA7.2/BC6.5/EB/EE,X538Q/E538Q,3.75/3.55
P668P/P868P/P8K8P,6.20/6.40/6.70,X636Q/E636Q,3.65/3.45
P668K/T868K,5.90/5.90,X536Q/E536Q,3.55/3.35
K668K/T668K,5.40/5.70,X436Q/E436Q,3.45/3.25
K638K/T638K,4.90/5.40,X436Q/E436Q,3.35/3.15
K538K/T538K,4.60/5.30,X435R/E435R,3.15/2.95
K636K/T636K,4.40/5.10,X435F/E435F,3.05/2.85
K536K/T536K,4.20/4.90,Q536Q/Q636Q,3.20/3.30
K538Q/T538Q,3.90/4.70,Q436R/Q436Q,3.00/3.10
K636Q/T636Q,3.80/4.50,Q435F/Q435R,2.80/2.90
K536Q/T536Q,3.70/4.40,R435F/R434D,2.50/2.40
K436Q/K436R/K435R,3.60/3.50/3.40,R334D/F333D,2.30/2.20
G536Q/G436R/-435G,3.20/3.10/2.70,G435R/G434F,3.00/2.90
三四层代码 ,BA/BC/EB/EE/C/B/E,G5R/G4F/G4D,2.15/1.95/1.85
668K/638K/636K,4.10/3.70/3.40,P8P/T8K/K6K,4.55/4.35/3.35
536K/636Q/536Q,3.20/2.80/2.70,K6Q/E6Q/E5R,2.85/2.35/2.25
436Q/436R/435R,2.60/2.50/2.40,Q6Q/Q5R/R5F,2.35/2.25/1.85
435F/434R/434F,2.30/2.30/2.20,R4F/F4D/F3D,1.65/1.55/1.45
二层代码8P,3.00E/3.10B,二层代码4Q,1.30E/1.40B
6K,2.10/2.20,6R,1.30/1.40
6Q,1.50/1.60,5R,1.20/1.30
5Q,1.40/1.50,4R,1.10/1.20
6G,1.50/1.60,5F,1.10/1.20
5G,1.40/1.50,4F,1.00/1.10
4G,1.30/1.40,4D,0.90/1.00
3G,1.20/1.30,3D,0.80/0.90
"微信号 178 5706 3717 下单、定单传真 8686 8860 客服电话 8686 8861 物流发货电话 8686 8856。
地址：温岭市东部新区金塘北路25街。售价执行时间：2026年6月10日0点。",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
